libthrift-0.19.0t64:amd64	0.19.0-4+b1
libtimedate-perl	2.3300-2
libtime-duration-perl	1.21-2
libtinfo6:amd64	6.5+20250216-2
libtirpc3t64:amd64	1.3.6+ds-1
libtirpc-common	1.3.6+ds-1
libtlsrpt0:amd64	0.5.0rc1-2
libtpms0:amd64	0.9.7+pve2
libtry-tiny-perl	0.32-1
libtypes-serialiser-perl	1.01-1
libuchardet0:amd64	0.0.8-1+b2
libudev1:amd64	257.13-1~deb13u1
libunbound8:amd64	1.22.0-2+deb13u3
libunistring5:amd64	1.3-2
libunwind8:amd64	1.8.1-0.1
liburcu8t64:amd64	0.15.2-2
liburing2:amd64	2.9-1
liburi-perl	5.30-1
libusb-1.0-0:amd64	2:1.0.28-1
libusbredirparser1t64:amd64	0.15.0-1
libuuid1:amd64	2.41.5-0+deb13u1
libuuid-perl	0.37-1
libuutil3linux:amd64	2.4.4-pve1
libuv1t64:amd64	1.50.0-2
libva2:amd64	2.22.0-3
libva-drm2:amd64	2.22.0-3
libvirglrenderer1:amd64	1.1.0-2
libvorbis0a:amd64	1.3.7-3
libvorbisenc2:amd64	1.3.7-3
libvotequorum8:amd64	3.1.10-pve3
libvulkan1:amd64	1.4.309.0-1
libwayland-server0:amd64	1.23.1-3
libwbclient0:amd64	2:4.22.10+dfsg-0+deb13u2
libwrap0:amd64	7.6.q-36
libwtmpdb0:amd64	0.73.0-3+deb13u1
libwww-perl	6.78-1
libwww-robotrules-perl	6.02-1
libx11-6:amd64	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-xcb1:amd64	2:1.8.12-1
libxau6:amd64	1:1.0.11-1
libxcb1:amd64	1.17.0-2+b1
libxcb-dri3-0:amd64	1.17.0-2+b1
libxcb-present0:amd64	1.17.0-2+b1
libxcb-randr0:amd64	1.17.0-2+b1
libxcb-render0:amd64	1.17.0-2+b1
libxcb-shm0:amd64	1.17.0-2+b1
libxcb-sync1:amd64	1.17.0-2+b1
libxcb-xfixes0:amd64	1.17.0-2+b1
libxdmcp6:amd64	1:1.1.5-1
libxext6:amd64	2:1.3.4-1+b3
libxkbcommon0:amd64	1.7.0-2
libxml2:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml-libxml-perl	2.0207+dfsg+really+2.0134-5+deb13u1
libxml-namespacesupport-perl	1.12-2
libxml-parser-perl	2.47-2~deb13u1
libxml-sax-base-perl	1.09-3
libxml-sax-perl	1.02+dfsg-4
libxml-twig-perl	1:3.52-3
libxrender1:amd64	1:0.9.12-1
libxshmfence1:amd64	1.3.3-1
libxslt1.1:amd64	1.1.35-1.2+deb13u3
libxtables12:amd64	1.8.11-2
libxxhash0:amd64	0.8.3-2
libyaml-0-2:amd64	0.2.5-2
libyaml-libyaml-perl	0.903.0+ds-1
libyang3:amd64	3.12.2-1
libz3-4:amd64	4.13.3-1
libzfs7linux:amd64	2.4.4-pve1
libzpool7linux:amd64	2.4.4-pve1
libzstd1:amd64	1.5.7+dfsg-1
linux-base	4.12.1
linux-sysctl-defaults	4.12.1
lm-sensors	1:3.6.2-2
locales	2.41-12+deb13u3
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
logrotate	3.22.0-1
logsave	1.47.2-3+b11
lsof	4.99.4+dfsg-2
lvm2	2.03.31-2+pmx1
lxcfs	7.0.0-pve1
lxc-pve	7.0.0-2
lzop	1.04-2
man-db	2.13.1-1
manpages	6.9.1-1
mawk	1.3.4.20250131-1
media-types	13.0.0
memtest86+	7.20-1
mesa-libgallium:amd64	25.0.7-2+deb13u1
mokutil	0.7.2-1
moreutils	0.69-1
mount	2.41.5-0+deb13u1
nano	8.4-1+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
netavark	1.14.0-2
netbase	6.5
netcat-traditional	1.10-50
nfs-common	1:2.8.3-1
nftables	1.1.3-1
nmap	7.95+dfsg-3
nmap-common	7.95+dfsg-3
node-popper2	2.11.2-8
novnc-pve	1.7.0-2
numactl	2.0.19-1
nvme-cli	2.13-2
openipmi	2.0.37-1
open-iscsi	2.1.11-1+deb13u2
openssh-client	1:10.0p1-7+deb13u4
openssh-server	1:10.0p1-7+deb13u4
openssh-sftp-server	1:10.0p1-7+deb13u4
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
perl-openssl-defaults:amd64	7+b2
pinentry-curses	1.3.1-2
postfix	3.10.13-0+deb13u1
procmail	3.24+really3.22-4
procps	2:4.0.4-9
prometheus-node-exporter	1.9.0-1+b4
prometheus-node-exporter-collectors	0.0~git20241119.a2b43e1-1
proxmox-archive-keyring	4.0
proxmox-backup-client	4.2.5-1
proxmox-backup-file-restore	4.2.5-1
proxmox-backup-restore-image	1.0.0
proxmox-default-kernel	2.1.0
proxmox-enterprise-support-keyring	1.1
proxmox-firewall	1.2.3
proxmox-grub	2.12-9+pmx2
proxmox-kernel-7.0.14-14-pve-signed	7.0.14-14
proxmox-kernel-7.0.2-6-pve-signed	7.0.2-6
proxmox-kernel-7.0	7.0.14-14
proxmox-kernel-helper	9.2.0
proxmox-mail-forward	1.0.3
proxmox-mini-journalreader	1.7
proxmox-offline-mirror-docs	0.7.4
proxmox-offline-mirror-helper	0.7.4
proxmox-termproxy	2.1.0
proxmox-ve	9.2.0
proxmox-websocket-tunnel	1.0.0
proxmox-widget-toolkit	5.2.8
psmisc	23.7-2
pve-cluster	9.1.6
pve-container	6.1.13
pve-docs	9.2.4
pve-edk2-firmware	4.2025.05-3
pve-edk2-firmware-aarch64	4.2025.05-3
pve-edk2-firmware-legacy	4.2025.05-3
pve-edk2-firmware-ovmf	4.2025.05-3
pve-esxi-import-tools	1.0.1
pve-firewall	6.0.5
pve-firmware	3.18-6
pve-ha-manager	5.2.5
pve-i18n	3.10.0
pve-lxc-syscalld	2.0.2
pve-manager	9.2.11
pve-nvidia-vgpu-helper	0.3.1
pve-qemu-kvm	11.0.3-3
pve-xtermjs	6.0.0-2
pve-yew-mobile-gui	0.8.0
pve-yew-mobile-i18n	3.10.0
python3.13	3.13.5-2+deb13u4
python3.13-minimal	3.13.5-2+deb13u4
python3	3.13.5-1
python3-apt	3.0.0
python3-autocommand	2.2.2-3
python3-bcrypt	4.2.0-2.1+b1
python3-ceph-argparse	19.2.3-pve4
python3-ceph-common	19.2.3-pve4
python3-cephfs	19.2.3-pve4
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:amd64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-cryptography	43.0.0-3+deb13u1
python3-dbus	1.4.0-1
python3-debconf	1.5.91
python3-debian	1.0.1
python3-debianbts	4.1.1
python3-decorator	5.2.1-2
python3-idna	3.10-1+deb13u1
python3-importlib-resources	6.5.2-1
python3-inflect	7.3.1-2
python3-jaraco.context	6.0.1-1+deb13u1
python3-jaraco.functools	4.1.0-1
python3-jaraco.text	4.0.0-1
python3-minimal	3.13.5-1
python3-more-itertools	10.7.0-1
python3-pefile	2024.8.26-2.1
python3-pkg-resources	78.1.1-0.1
python3-prettytable	3.15.1-1
python3-prometheus-client	0.21.1+ds1-1
python3-pyvmomi	8.0.3.0.1-1
python3-rados	19.2.3-pve4
python3-rbd	19.2.3-pve4
python3-reportbug	13.2.0
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rgw	19.2.3-pve4
python3-setuptools	78.1.1-0.1
python3-six	1.17.0-1
python3-systemd	235-1+b6
python3-typeguard	4.4.2-1
python3-typing-extensions	4.13.2-1
python3-urllib3	2.3.0-3+deb13u2
python3-virt-firmware	24.11-2
python3-wcwidth	0.2.13+dfsg1-1
python3-yaml	6.0.2-1+b2
python3-zipp	3.21.0-1
python-apt-common	3.0.0
qemu-server	9.2.7
qrencode	4.1.1-2
readline-common	8.2-6
reportbug	13.2.0
rpcbind	1.2.7-1
rrdcached	1.7.2-4.2+pve4
rsync	3.4.1+ds1-5+deb13u4
runit-helper	2.16.4
samba-common	2:4.22.10+dfsg-0+deb13u2
